SampleID,Target
NT5-4APR2017,neuston
NT5W-12MAR2018,neuston
NT6-09APR2018,neuston
NT6-10APR2017,neuston
NT6-11APR2017,neuston
NT6-12APR2018,neuston
NT6-13APR2018,neuston
NT6-22MAR2018,neuston
NT6-23MAR2018,neuston
NT6-27MAR2017,neuston
NT6-27MAR2018,neuston
NT6-29MAR2017,neuston
NT6-29MAR2018,neuston
NT6-30MAR2017,neuston
NT6-3APR2017,neuston
NT7-09APR2018,neuston
NT7-10APR2017,neuston
NT7-30MAR2017,neuston
NT8-09APR2018,neuston
NT9-09APR2018,neuston
PG_801-1-12MAR2018,benthic
PG_801-2-12MAR2018,benthic
PG_801-3-12MAR2018,benthic
PG_801-4-12MAR2018,benthic
PG1-10APR2017,benthic
PG1-11APR2017,benthic
PG1-12APR2017,benthic
PG1W-12MAR2018,benthic
PG2-10APR2017,benthic
PG2-11APR2017,benthic
PG2-12APR2017,benthic
PG2W-12MAR2018,benthic
PG3-10APR2017,benthic
PG3-11APR2017,benthic
PG3-12APR2017,benthic
PG3W-12MAR2018,benthic
PG4-10APR2017,benthic
PG4-11APR2017,benthic
PG4-12APR2017,benthic
PG4-27MAR2018,benthic
PG4W-12MAR2018,benthic
PG5-10APR2017,benthic
PG5-11APR2017,benthic
PG5-12APR2017,benthic
PG6-10APR2017,benthic
PG6-11APR2017,benthic
PG6-12APR2017,benthic
PG6-29MAR2018,benthic
PG6W-12MAR2018,benthic
PG7-10APR2017,benthic
PG7-12APR2017,benthic
PVC1-02MAR2018,benthic
PVC1-09APR2018,benthic
PVC1-10APR2017,benthic
PVC1-10MAY2018,benthic
PVC1-12MAR2018,benthic
PVC1-13APR2017,benthic
PVC1-13APR2018,benthic
PVC1-20MAR2018,benthic
PVC1-23JAN2018,benthic
PVC1-26MAR2018,benthic
PVC1-29MAR2017,benthic
PVC1-30MAR2017,benthic
PVC1-3APR2017,benthic
PVC1-6APR2017,benthic
PVC1P-29MAR2018,benthic
PVC2-09APR2018,benthic
PVC2-10APR2017,benthic
PVC2-12MAR2018,benthic
PVC2-13APR2017,benthic
PVC2-13APR2018,benthic
PVC2-20MAR2018,benthic
PVC2-23JAN2018,benthic
PVC2-26MAR2018,benthic
PVC2-29MAR2017,benthic
PVC2-3APR2017,benthic
PVC2-6APR2017,benthic
PVC2P-29MAR2018,benthic
PVC3-09APR2018,benthic
PVC3-10APR2017,benthic
PVC3-12MAR2018,benthic
PVC3-13APR2017,benthic
PVC3-20MAR2018,benthic
PVC3-23JAN2018,benthic
PVC3-26MAR2018,benthic
PVC3-29MAR2017,benthic
PVC3-3APR2017,benthic
PVC3-6APR2017,benthic
PVC3-D-10MAY2018,benthic
PVC4-10APR2017,benthic
PVC4-12MAR2018,benthic
PVC4-20MAR2018,benthic
PVC4-26MAR2018,benthic
PVC4-29MAR2017,benthic
PVC4-3APR2017,benthic
PVC4-6APR2017,benthic
PVC4-D-10MAY2018,benthic
PVC5-10APR2017,benthic
PVC5-12MAR2018,benthic
PVC5-22MAR2018,benthic
PVC5-26MAR2018,benthic
PVC6-26MAR2018,benthic
SAV1-01NOV2018,SAV
SAV1-02MAR2018,SAV
SAV1-10APR2017,SAV
SAV1-12MAR2018,SAV
SAV1-13APR2017,SAV
SAV1-13APR2018,SAV
SAV1-13sep2017,SAV
SAV1-15OCT2018,SAV
SAV1-17OCT2018,SAV
SAV1-19MAY2017,SAV
SAV1-23OCT2018,SAV
SAV1-25APR2017,SAV
SAV1-27MAR2018,SAV
SAV1-29MAR2017,SAV
SAV1-30MAR2017,SAV
SAV1-7JUN2017,SAV
SAV1-9OCT2018,SAV
SAV1P-29MAR2018,SAV
SAV2-10APR2017,SAV
SAV2-12MAR2018,SAV
SAV2-13APR2017,SAV
SAV2-13APR2018,SAV
SAV2-13sep2017,SAV
SAV2-19MAY2017,SAV
SAV2-23JAN2018,SAV
SAV2-29MAR2017,SAV
SAV2-30MAR2017,SAV
SAV2-7JUN2017,SAV
SAV3-10APR2017,SAV
SAV3-13APR2017,SAV
SAV3-13APR2018,SAV
SAV3-19MAY2017,SAV
SAV3-29MAR2017,SAV
SAV3-30MAR2017,SAV
SAV3-7JUN2017,SAV
SAV4-13APR2017,SAV
SAV4-13sep2017,SAV
SAV4-29MAR2017,SAV
SAV4-30MAR2017,SAV
SAV4P-29MAR2018,SAV
SAV5-13APR2017,SAV
SAV5-13sep2017,SAV
SAV5-29MAR2017,SAV
SAV5-30MAR2017,SAV
SAV6-13APR2017,SAV
SAV6-29MAR2017,SAV
SAV6-30MAR2017,SAV
EAV1-26MAR2018,EAV
EAV2-13APR2018,EAV
EAV2-22MAR2018,EAV
EAV2-27MAR2018,EAV
EAV2-29MAR2018,EAV
EAV3-09APR2018,EAV
EAV3-20MAR2018,EAV
EAV3-27MAR2018,EAV
EAV3B-13MAR2018,EAV
EAV5-22MAR2018,EAV
EAV6-22MAR2018,EAV
EAV7-22MAR2018,EAV
EAV7-26MAR2018,EAV
EAV8-22MAR2018,EAV
FAV10-18APR2018,FAV
FAV10-22MAR2018,FAV
FAV1S-13MAR2018,FAV
FAV4-18APR2018,FAV
MAC1-18APR2018,mysid
MAC2-11MAY2018,mysid
MAC2-12APR2018,mysid
MAC8-15MAR2018,mysid
NT1-18APR2018,neuston
PG1-10APR2018,benthic
PG1-11APR2018,benthic
PG1-12APR2018,benthic
PG1-13APR2018,benthic
PG1-18APR2018,benthic
PG1-22MAR2018,benthic
PG1-23MAR2018,benthic
PG1-27MAR2018,benthic
PG1-29MAR2018,benthic
PG2-10APR2018,benthic
PG2-11APR2018,benthic
PG2-12APR2018,benthic
PG2-13APR2018,benthic
PG2-18APR2018,benthic
PG2-23MAR2018,benthic
PG2-27MAR2018,benthic
PG2-29MAR2018,benthic
PG2B-13MAR2018,benthic
PG3-10APR2018,benthic
PG3-11APR2018,benthic
PG3-12APR2018,benthic
PG3-13APR2018,benthic
PG3-18APR2018,benthic
PG3-23MAR2018,benthic
PG3-27MAR2018,benthic
PG3-29MAR2018,benthic
PG3B-13MAR2018,benthic
PG4-10APR2018,benthic
PG4-12APR2018,benthic
PG4-18APR2018,benthic
PG4-23MAR2018,benthic
PG4-29MAR2018,benthic
PG4B-13MAR2018,benthic
PG5-12APR2018,benthic
PG5-18APR2018,benthic
PG5-23MAR2018,benthic
PG5-27MAR2018,benthic
PG5-29MAR2018,benthic
PG6-12APR2018,benthic
PG6-22MAR2018,benthic
PG6-23MAR2018,benthic
PG6-27MAR2018,benthic
SAV2-02MAR2018,SAV
SAV2-23MAR2018,SAV
SAV2P-29MAR2018,SAV
SAV3P-29MAR2018,SAV
FAV2-23JAN2018,FAV
SAV1-23JAN2018,SAV
